segment;change_rate
1;0.42857142857142855
2;1.0
3;1.0
4;0.5
5;0.75
6;0.6666666666666666
7;0.0
8;0.8
9;1.0
10;0.0
11;0.5
12;0.0
13;0.3333333333333333
14;1.0
15;0.5
16;0.75
17;0.6666666666666666
18;0.8
19;0.16666666666666666
20;0.5
21;0.8
22;1.0
23;0.5
24;0.3333333333333333
25;0.75
26;0.6666666666666666
27;1.0
28;0.5
29;0.5
30;0.3333333333333333
31;0.6666666666666666
32;1.0
33;1.0
34;0.5714285714285714
35;0.4
36;0.5
37;1.0
38;0.3333333333333333
39;0.25
40;0.14285714285714285
41;0.75
42;0.75
43;0.6666666666666666
44;1.0
45;0.25
46;0.6666666666666666
47;1.0
48;0.75
49;0.75
50;0.0
51;1.0
52;1.0
