segment;change_rate
1;0.5
2;0.3333333333333333
3;0.6666666666666666
4;0.5
5;0.3333333333333333
6;0.3333333333333333
7;0.5
8;0.5
9;0.3333333333333333
10;0.8
11;0.6
12;0.6666666666666666
13;0.7142857142857143
14;0.7692307692307693
15;0.9090909090909091
16;0.5
17;0.5
18;0.5
19;0.5
20;0.5
21;0.6666666666666666
22;0.5
23;0.5
24;0.5
25;0.5
26;0.3333333333333333
27;0.6666666666666666
28;0.5
29;0.5
30;1.0
31;0.5
32;0.6666666666666666
33;0.6666666666666666
34;0.5
35;1.0
36;0.75
37;0.75
38;0.8
39;0.3333333333333333
40;0.6666666666666666
41;0.4
42;0.8571428571428571
43;0.6
44;0.3333333333333333
45;1.0
46;0.6666666666666666
47;0.8
48;0.8333333333333334
49;0.7142857142857143
