segment;change_rate
1;0.5
2;0.5
3;0.3333333333333333
4;0.3333333333333333
5;0.3333333333333333
6;1.0
7;1.0
8;1.0
9;0.8333333333333334
10;0.3333333333333333
11;0.8
12;1.0
13;0.9
14;1.0
15;0.3333333333333333
16;0.6666666666666666
17;1.0
18;1.0
19;1.0
20;0.5
21;1.0
22;1.0
23;1.0
24;0.6666666666666666
25;0.6666666666666666
26;1.0
27;1.0
28;1.0
29;1.0
30;1.0
31;1.0
32;0.75
33;0.75
34;0.6666666666666666
35;1.0
36;0.6666666666666666
37;0.6666666666666666
38;1.0
39;0.5
40;0.3333333333333333
41;1.0
42;0.8
43;1.0
44;1.0
45;0.6666666666666666
46;0.0
47;0.0
48;0.0
49;0.0
50;1.0
51;0.3333333333333333
52;0.6666666666666666
53;0.5
54;0.5
55;0.6666666666666666
56;1.0
57;0.0
58;0.0
59;0.0
60;1.0
61;0.3333333333333333
62;0.4
63;1.0
64;0.7142857142857143
65;0.5714285714285714
66;1.0
