segment;change_rate
1;0.6666666666666666
2;0.5
3;0.8
4;0.6666666666666666
5;0.6666666666666666
6;0.6666666666666666
7;0.6666666666666666
8;0.6666666666666666
9;0.6666666666666666
10;0.5
11;0.6
12;0.5
13;0.75
14;0.6666666666666666
15;0.6666666666666666
16;0.5
17;0.5
18;0.6666666666666666
19;0.6666666666666666
20;1.0
21;0.7142857142857143
22;0.8333333333333334
23;0.6
24;0.6
25;0.5
26;0.75
27;0.75
28;0.6666666666666666
29;0.6666666666666666
30;0.3333333333333333
31;0.75
32;1.0
33;0.8
34;0.875
35;0.8333333333333334
36;1.0
37;0.75
38;0.75
39;0.6666666666666666
40;1.0
41;0.6666666666666666
42;0.5
43;0.5
44;0.5
45;0.25
46;0.75
