segment;change_rate
1;0.6666666666666666
2;0.3333333333333333
3;0.3333333333333333
4;0.6666666666666666
5;0.6666666666666666
6;0.5
7;0.6666666666666666
8;0.3333333333333333
9;1.0
10;0.6666666666666666
11;0.5
12;0.5
13;0.5
14;0.5
15;0.6666666666666666
16;0.6666666666666666
17;0.6666666666666666
18;1.0
19;0.5
20;1.0
21;1.0
22;0.5
23;0.6666666666666666
24;0.3333333333333333
25;0.3333333333333333
26;1.0
27;0.5
28;0.6666666666666666
29;0.6666666666666666
30;0.3333333333333333
31;0.75
32;1.0
33;0.75
34;1.0
35;0.5
36;0.5
37;0.5
38;1.0
39;0.5
40;0.6666666666666666
41;0.75
42;0.6666666666666666
43;0.6666666666666666
44;0.5
45;0.5
46;0.5
